trial,wp,β1,wb,β2,wm,Rm,Qb,η1,η2,Rs,p,Q,Π_pi,Π_bi,Π_mi,Π_ri,total_Π
1,4.526953855169689,0.4401008709570113,4.925938332744865,0.6934206684781766,9.925938332744865,60.0,25.0,0.5,0.5,82.29474972903768,82.49999641477716,50.0,47.15158937784895,44.16836231049944,85.6098595096608,8973.412868922604,9150.342680120613
2,3.194587601859793,0.9661099046040208,4.563535862510111,0.7803430191714147,9.563535862510111,60.0,25.0,0.5,0.5,74.34182423875782,82.50000276747674,50.0,-12.009954048499935,42.582716074529046,116.89748892934985,8994.190610549405,9141.660861504784
3,3.26110272004407,0.4513782191376558,3.908466435310487,0.9182296890716297,8.908466435310487,60.0,25.0,0.5,0.5,74.55517854604487,82.50001373853031,50.0,-5.1007562328879885,31.84700183639341,85.30483851262562,9031.747924375153,9143.799008491284
